num_samples,SRMSE,Model,Type
100000,0.293,VAE/CVAE,Univariate
10000,0.261,VAE/CVAE,Univariate
1000,0.312,VAE/CVAE,Univariate
100,0.523,VAE/CVAE,Univariate
10,0.83,VAE/CVAE,Univariate
1,1.54,VAE/CVAE,Univariate
100000,0.843,VAE/CVAE,Bivariate
10000,0.741,VAE/CVAE,Bivariate
1000,1,VAE/CVAE,Bivariate
100,1.33,VAE/CVAE,Bivariate
10,2.38,VAE/CVAE,Bivariate
1,4.12,VAE/CVAE,Bivariate
100000,0.316,Populationsim,Univariate
10000,0.251,Populationsim,Univariate
100000,0.863,Populationsim,Bivariate
10000,0.841,Populationsim,Bivariate